RK,TIERS,PLAYER NAME,TEAM,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
183,11,Brenton Strange,JAC,TE26,24,136,285,185.5,31.8,-
184,11,Cole Kmet,CHI,TE27,26,146,241,192.6,24.4,-
185,11,Rico Dowdle,CAR,RB53,27,148,246,194.4,24.1,-
186,11,Joshua Palmer,BUF,WR75,25,141,234,188,24.5,-
187,11,DeMario Douglas,NE,WR76,24,155,242,195.2,20.6,-
188,11,Ja'Tavion Sanders,CAR,TE28,22,158,251,195.4,22,-
189,11,Tyler Allgeier,ATL,RB54,25,162,261,195.9,25.6,-
190,11,Christian Watson,GB,WR77,26,159,284,197.3,27.1,-
191,11,Mike Gesicki,CIN,TE29,29,176,272,202.6,23.6,-
192,11,Dontayvion Wicks,GB,WR78,24,178,285,196.7,23.7,-
193,11,DeAndre Hopkins,BAL,WR79,33,164,275,203.9,24.5,-
194,11,MarShawn Lloyd,GB,RB55,24,121,268,207.8,32.1,-
195,11,Chig Okonkwo,TEN,TE30,25,176,246,203.7,16.1,-
196,11,DJ Giddens,IND,RB56,21,171,268,210.6,21.9,-
197,11,Jerome Ford,CLE,RB57,25,134,271,210.8,33.1,-
198,11,Zach Ertz,WAS,TE31,34,149,279,212.3,27.1,-
199,11,Adam Thielen,CAR,WR80,34,153,313,206.6,38.2,-
200,11,Theo Johnson,NYG,TE32,24,184,243,206.6,15,-
201,11,Roschon Johnson,CHI,RB58,24,177,253,214.4,18.6,-
202,11,Devin Neal,NO,RB59,21,162,300,209.5,34.3,-
203,11,Alec Pierce,IND,WR81,25,169,262,210.2,23.9,-
204,11,Amari Cooper,FA,WR82,31,147,253,196.6,29,-
205,11,Russell Wilson,NYG,QB32,36,118,188,146.1,17.1,-
206,11,Jonathon Brooks,CAR,RB60,22,151,292,204.6,33,-
207,11,Ben Sinnott,WAS,TE33,23,179,260,205.7,18.4,-
208,11,Daniel Jones,IND,QB33,28,106,177,148.1,14.7,-
209,11,Diontae Johnson,CLE,WR83,29,188,264,212.5,21.4,-
210,11,Jarquez Hunter,LAR,RB61,22,139,259,200.2,33.2,-
211,11,Michael Wilson,ARI,WR84,25,169,236,207.4,17,-
212,11,Keenan Allen,FA,WR85,33,167,252,201.7,23.1,-
213,12,Dalton Schultz,HOU,TE34,29,187,273,217.3,26.1,-
214,12,Pat Bryant,DEN,WR86,22,136,299,208.8,39.7,-
215,12,Roman Wilson,PIT,WR87,24,183,278,221.8,24.7,-
216,12,Nick Chubb,HOU,RB62,29,190,260,226,18.2,-
217,12,Aaron Rodgers,PIT,QB34,41,87,202,144,27.8,-
218,12,Austin Ekeler,WAS,RB63,30,159,283,228.8,32.3,-
219,12,Shedeur Sanders,CLE,QB35,23,106,187,145.5,20.8,-
220,12,Andrei Iosivas,CIN,WR88,25,198,270,224.1,19.6,-
221,12,Isaac TeSlaa,DET,WR89,23,174,301,219.1,35.4,-
222,12,Troy Franklin,DEN,WR90,22,179,248,213,21.9,-
223,12,Tory Horton,SEA,WR91,22,176,298,229.3,33.5,-
224,12,Savion Williams,GB,WR92,23,165,300,220.2,33,-
225,12,Elijah Moore,BUF,WR93,25,203,262,232.3,17.7,-
226,12,Audric Estime,DEN,RB64,21,196,268,232.3,20.8,-
227,12,Noah Fant,FA,TE35,27,201,281,228.3,23.5,-
228,12,Juwan Johnson,NO,TE36,28,187,289,234.6,29.2,-
229,12,Darius Slayton,NYG,WR94,28,208,274,230.6,16.9,-
230,12,Kendre Miller,NO,RB65,23,174,267,230.9,24.9,-
231,12,Devaughn Vele,DEN,WR95,27,201,283,237.2,21.8,-
232,12,Malik Washington,MIA,WR96,24,199,253,226.1,13.9,-
233,12,Tyler Lockett,TEN,WR97,32,178,303,233.4,23.7,-
234,12,Tahj Brooks,CIN,RB66,23,183,267,230.4,24.4,-
235,12,Jalen Tolbert,DAL,WR98,26,205,306,231.5,22,-
236,12,Jaleel McLaughlin,DEN,RB67,24,202,270,242.9,20.2,-
237,12,Ollie Gordon II,MIA,RB68,21,184,303,238.6,30,-
238,12,Jordan James,SF,RB69,21,186,284,233.9,26.1,-
239,12,Oronde Gadsden II,LAC,TE37,22,155,292,220.8,36.6,-
240,12,Trevor Etienne,CAR,RB70,21,171,314,239.8,34.8,-
241,12,Calvin Austin III,PIT,WR99,26,153,293,240.4,29.6,-
242,12,Kyle Monangai,CHI,RB71,23,180,273,235.1,21.9,-
243,12,Brashard Smith,KC,RB72,22,189,261,224.3,24.4,-
244,12,Jordan Whittington,LAR,WR100,24,210,282,238.3,16.1,-
245,12,Will Shipley,PHI,RB73,22,179,314,250.1,34.1,-
246,12,Kayshon Boutte,NE,WR101,23,173,320,234.6,34.5,-
247,12,Xavier Restrepo,TEN,WR102,23,180,276,236.7,21.7,-
248,12,Damien Martinez,SEA,RB74,21,183,297,242.5,27,-
249,12,Keaton Mitchell,BAL,RB75,23,175,320,256.8,31.5,-
250,12,Brandin Cooks,NO,WR103,31,195,323,248.9,27.5,-
251,12,Parker Washington,JAC,WR104,23,216,300,253.6,24.5,-
252,12,Woody Marks,HOU,RB76,24,181,289,232.8,35.6,-
253,12,Ja'Lynn Polk,NE,WR105,23,202,291,239.7,22.1,-
254,12,Luke McCaffrey,WAS,WR106,24,203,279,241.8,18.1,-
255,12,Noah Gray,KC,TE38,26,202,277,237.4,24.4,-
